,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,last_modified,latitude,longitude
9952,Entire home/apt,Oud Oost,14,5.0,2,1.0,132.0,Trendy apartment Amsterdam centre,2017-07-22 20:06:37.792235,52.349493,4.913714
9955,Entire home/apt,Centrum Oost,9,4.5,4,2.0,144.0,comfi apartment in Amsterdam,2017-07-22 20:06:37.785939,52.361306,4.910701
9957,Entire home/apt,De Pijp / Rivierenbuurt,3,5.0,4,1.0,143.0,Complete apartment in a quiet street in De Pijp,2017-07-22 20:06:34.296339,52.350436,4.906262
9958,Entire home/apt,Oud Oost,21,5.0,2,1.0,126.0,"Large sunny flat, balcony, WiFi",2017-07-22 20:06:34.293998,52.357183,4.925066
9959,Entire home/apt,De Pijp / Rivierenbuurt,9,5.0,4,1.0,144.0,Beautiful apartment with garden in the Pijp area,2017-07-22 20:06:34.285365,52.351146,4.904191
9962,Entire home/apt,Oud Oost,5,5.0,2,1.0,144.0,"Luxurious 2p ap with garden, next to Beukenplein!",2017-07-22 20:06:34.271411,52.359217,4.9255059999999995
9963,Entire home/apt,Oud Oost,5,5.0,4,2.0,144.0,Appartement in Amsterdam-Oost,2017-07-22 20:06:34.268981,52.354253,4.920241000000001
9966,Entire home/apt,Oud Oost,26,4.5,2,1.0,127.0,Amazing rooftop apartment | City Center & ZOO,2017-07-22 20:06:30.815994,52.358808,4.925921
9968,Entire home/apt,De Pijp / Rivierenbuurt,25,5.0,2,1.0,132.0,Cosy appartment on the ground floor - close to RAI,2017-07-22 20:06:30.807386,52.349868,4.905566
9969,Entire home/apt,Oud Oost,27,5.0,2,1.0,141.0,Beautiful & comfortable apartment next to Amstel!,2017-07-22 20:06:30.802070,52.357403999999995,4.911257
9970,Entire home/apt,Oud Oost,7,5.0,2,1.0,126.0,Bright colourful apartment near centre & park,2017-07-22 20:06:30.795809,52.35832,4.913332
9971,Entire home/apt,Oud Oost,12,5.0,2,2.0,134.0,Spacious city centre apartment with sunny balcony,2017-07-22 20:06:30.793739,52.352965999999995,4.915909
9972,Entire home/apt,Oud Oost,10,5.0,2,1.0,144.0,Charming and sunny appt for 2!,2017-07-22 20:06:30.791741,52.352252,4.915743
9974,Entire home/apt,Oud Oost,5,5.0,2,1.0,125.0,Bright apartment + terrace + bikes,2017-07-22 20:06:28.357294,52.361733,4.922357
9975,Entire home/apt,Oud Oost,15,5.0,2,0.0,132.0,Cosy light apartment @ Amstel River,2017-07-22 20:06:28.346907,52.351766999999995,4.911529
9976,Entire home/apt,Oud Oost,6,5.0,2,1.0,144.0,Apartment in the up and coming East,2017-07-22 20:06:28.344956,52.3547,4.91637
9980,Entire home/apt,Oud Oost,11,4.5,2,1.0,130.0,A charming apartment in a hip area,2017-07-22 20:06:25.215416,52.360763,4.9246739999999996
9983,Entire home/apt,Oud Oost,6,3.5,2,0.0,144.0,Cosy studio Amsterdam near the Oosterpark,2017-07-22 20:06:25.201033,52.357316,4.914749
9984,Entire home/apt,Oud Oost,89,5.0,2,1.0,130.0,Quiet room in centre-east w/balcony,2017-07-22 20:06:25.198780,52.35947,4.912186
9986,Entire home/apt,Oud Oost,13,5.0,2,1.0,144.0,Lovely apartment in A'dam East,2017-07-22 20:06:25.190996,52.35666,4.916414
9987,Entire home/apt,Oud Oost,8,3.5,2,1.0,144.0,"Quiet, light & comfy apartment at the Amstel river",2017-07-22 20:06:25.187076,52.357831,4.907587
9988,Entire home/apt,De Pijp / Rivierenbuurt,18,5.0,2,1.0,144.0,Stylish stay close to the Amstel,2017-07-22 20:06:22.040569,52.358255,4.905004
9989,Entire home/apt,Oud Oost,29,4.5,2,1.0,143.0,Authentic elite-class 1895  app totally renovated,2017-07-22 20:06:22.037030,52.354924,4.909149
9991,Entire home/apt,Watergraafsmeer,12,5.0,3,1.0,132.0,Ground Floor Appt Frankendael max 2,2017-07-22 20:06:22.025430,52.346628,4.93951
9992,Entire home/apt,Oud Oost,3,4.5,4,2.0,144.0,Big bright comfy place w/ garden in practical spot,2017-07-22 20:06:22.007392,52.352828,4.915783
9993,Entire home/apt,De Pijp / Rivierenbuurt,4,5.0,2,1.0,143.0,Bright and Central Apartment in the Pijp!,2017-07-22 20:06:22.001594,52.352893,4.903711
9994,Entire home/apt,Oud Oost,5,5.0,4,1.0,143.0,Garden house in a lovely quiet area near center,2017-07-22 20:06:21.998533,52.358756,4.922152
9995,Entire home/apt,Oud Oost,6,5.0,2,1.0,132.0,spacious apartment in Amsterdam,2017-07-22 20:06:21.994632,52.360518,4.9292300000000004
9996,Entire home/apt,Oud Oost,12,4.5,2,1.0,144.0,Spacious 1 br apartment in trendy neighbourhood,2017-07-22 20:06:21.992068,52.363186999999996,4.926846
9997,Entire home/apt,Watergraafsmeer,27,4.5,2,1.0,144.0,Apartment with garden + 2 bikes,2017-07-22 20:06:21.989495,52.349944,4.92824
9998,Entire home/apt,Oud Oost,7,5.0,4,2.0,132.0,Bright and happy family home,2017-07-22 20:06:21.987160,52.359272999999995,4.917782
9999,Entire home/apt,De Pijp / Rivierenbuurt,3,5.0,2,1.0,144.0,"Bright, lovely home for two near the city center",2017-07-22 20:06:20.101122,52.352608000000004,4.90752
10000,Entire home/apt,Oud Oost,9,4.0,4,2.0,143.0,Cosy bright apartment in lively neighbourhood,2017-07-22 20:06:20.094666,52.359722,4.9147110000000005
10003,Entire home/apt,Oud Oost,20,5.0,2,1.0,126.0,"Cosy, spacious, sunny, free bikes & great location",2017-07-22 20:06:20.077742,52.355699,4.909101000000001
10004,Entire home/apt,Oud Oost,25,5.0,3,1.0,132.0,Beautiful Spacious Apartment A'dam ,2017-07-22 20:06:20.075554,52.359759999999994,4.91164
10006,Entire home/apt,Oud Oost,3,4.5,2,1.0,144.0,Luxurious apartment near the canals of Amsterdam,2017-07-22 20:06:18.531054,52.350612,4.912381
10009,Entire home/apt,Oud Oost,4,5.0,2,1.0,144.0,Stylish and spacious apartment with roof terrace,2017-07-22 20:06:18.515043,52.354644,4.924136
10010,Entire home/apt,Oud Oost,30,5.0,2,1.0,131.0,"Cosy & hip apartment, close to centre",2017-07-22 20:06:18.507202,52.363138,4.928380000000001
10011,Entire home/apt,Oud Oost,7,4.5,2,1.0,126.0,Lovely spacious City apartment near a great park,2017-07-22 20:06:18.501430,52.358234,4.914655000000001
10013,Entire home/apt,Oud Oost,3,5.0,2,1.0,132.0,Very chill appartement in booming Amsterdam Oost,2017-07-22 20:06:15.939886,52.360473999999996,4.928042
10014,Entire home/apt,Watergraafsmeer,4,5.0,2,2.0,131.0,Appartment in Amsterdam in cozy watergraafsmeer,2017-07-22 20:06:15.934979,52.352545,4.926966
10016,Entire home/apt,Oud Oost,3,5.0,4,2.0,144.0,Beautiful bright apartment with a view,2017-07-22 20:06:13.167554,52.349242,4.913287
10018,Entire home/apt,De Pijp / Rivierenbuurt,6,5.0,2,1.0,144.0,"Light, spacious sunny apartment",2017-07-22 20:06:13.152885,52.34622,4.905397
10020,Entire home/apt,Oostelijk Havengebied / Indische Buurt,9,4.0,3,0.0,140.0,Amazing Apartment Java,2017-07-22 20:00:27.644390,52.362874,4.933948
10022,Entire home/apt,Watergraafsmeer,8,5.0,2,1.0,143.0,Great House with Sunny Backyard,2017-07-22 20:00:27.636402,52.352261,4.936646
10027,Entire home/apt,Centrum Oost,99,4.5,4,2.0,143.0,Fancy decorated little Tsarina 70m2 privéapartment,2017-07-22 20:00:24.584633,52.371016,4.930617
10029,Entire home/apt,Ijburg / Eiland Zeeburg,3,3.5,4,3.0,143.0,LOVELY 2 bedroom family home with balcony!,2017-07-22 20:00:24.578982,52.360915000000006,4.975003
10030,Entire home/apt,Oostelijk Havengebied / Indische Buurt,5,5.0,2,1.0,144.0,Zen & Spacious | Jacuzzi & Roof Terrace,2017-07-22 20:00:24.573982,52.361328,4.946103
10033,Entire home/apt,Oostelijk Havengebied / Indische Buurt,21,5.0,4,0.0,138.0,Modern Bright Studio for 4 City Explorers,2017-07-22 20:00:24.556827,52.360454,4.934196
10034,Entire home/apt,Watergraafsmeer,35,5.0,3,0.0,126.0,"NEW: Stylish, luxurious apt. near the centre",2017-07-22 20:00:19.413533,52.353774,4.9318800000000005
10036,Entire home/apt,Oostelijk Havengebied / Indische Buurt,4,5.0,4,2.0,144.0,GREAT BRIGHT & SPACIOUS PENTHOUSE,2017-07-22 20:00:19.393992,52.362856,4.932432
10037,Entire home/apt,Ijburg / Eiland Zeeburg,59,5.0,4,1.0,138.0,House along the water in Amsterdam,2017-07-22 20:00:16.996540,52.360701,4.975036
10038,Entire home/apt,Oostelijk Havengebied / Indische Buurt,13,5.0,2,1.0,130.0,Light & bright apartment in hip Oost,2017-07-22 20:00:16.986281,52.363017,4.938185
10039,Entire home/apt,Oostelijk Havengebied / Indische Buurt,8,5.0,2,2.0,132.0,"Bright, charming 3-room apartment",2017-07-22 20:00:16.966752,52.360446,4.943404
10040,Entire home/apt,Oostelijk Havengebied / Indische Buurt,3,5.0,2,1.0,132.0,Spacious & light apt. in East-side of Amsterdam,2017-07-22 20:00:15.129383,52.360932,4.94486
10041,Entire home/apt,Oostelijk Havengebied / Indische Buurt,13,5.0,2,1.0,137.0,Renovated apartment close 2 center,2017-07-22 20:00:15.120881,52.359189,4.937545
10042,Entire home/apt,Ijburg / Eiland Zeeburg,23,4.5,4,1.0,132.0,Apartment in Marina,2017-07-22 20:00:12.799206,52.362486,4.963007
10043,Entire home/apt,Westerpark,16,4.5,3,1.0,126.0,COZY AND ARTSY GROUNDFLLOOR APARTMENT,2017-07-22 20:00:10.905179,52.388498,4.879822
10044,Entire home/apt,Centrum West,32,4.5,2,1.0,132.0,Sleeping in the heart of Amsterdam,2017-07-22 20:00:10.902385,52.380648,4.885036
10045,Entire home/apt,Oud Noord,6,5.0,4,2.0,126.0,"Modern, vrij uitzicht, vlakbij CS",2017-07-22 20:00:10.900071,52.38337,4.917435
10046,Entire home/apt,Centrum West,15,4.0,3,1.0,132.0,Amazing apartment @ great location!,2017-07-22 20:00:10.897322,52.378413,4.880033
10047,Entire home/apt,Centrum West,62,5.0,4,1.0,144.0,loft with garden in Jordaan.,2017-07-22 20:00:10.894588,52.379822,4.881485
10049,Entire home/apt,Westerpark,5,4.5,2,1.0,143.0,Lovely apartment in the heart of Westerpark for 2,2017-07-22 20:00:10.887138,52.379414000000004,4.876833
10052,Entire home/apt,Centrum West,8,5.0,3,2.0,144.0,Fantastic apartment in Jordaan area,2017-07-22 20:00:07.901911,52.38211,4.881278
10053,Entire home/apt,Centrum West,10,4.5,2,1.0,126.0,Cute house in heart of Amsterdam,2017-07-22 20:00:07.899028,52.38482,4.8898269999999995
10054,Entire home/apt,Centrum West,43,5.0,2,0.0,126.0,Prinsen Canal Garden View Apartment,2017-07-22 20:00:07.895385,52.378586999999996,4.8868160000000005
10055,Entire home/apt,Centrum West,32,5.0,2,1.0,131.0,Apartment in city centre (Jordaan),2017-07-22 20:00:07.890247,52.379897,4.882251999999999
10056,Entire home/apt,Centrum West,95,5.0,2,0.0,131.0,Quiet Studio in the Jordaan Area,2017-07-22 20:00:07.887257,52.381332,4.883424
10057,Entire home/apt,Centrum West,4,5.0,5,3.0,131.0,206 Haarlemmerdijk City Apart III,2017-07-22 20:00:07.884256,52.383752,4.885562
10058,Entire home/apt,Westerpark,5,5.0,2,1.0,130.0,Complete apt Westerpark,2017-07-22 20:00:07.880294,52.384658,4.877464
10060,Entire home/apt,Westerpark,5,5.0,2,1.0,144.0,Beautiful studio in central Amsterdam,2017-07-22 20:00:07.864435,52.382194,4.877052
10061,Entire home/apt,Westerpark,3,4.0,2,1.0,131.0,Cosy place in Amsterdam,2017-07-22 20:00:07.862012,52.390792,4.875038
10062,Entire home/apt,Westerpark,14,5.0,5,3.0,144.0,Comfort and charm in Amsterdam,2017-07-22 20:00:07.859403,52.388692999999996,4.878254
10063,Entire home/apt,Oud Noord,5,4.5,4,2.0,144.0,Vintage house between city & meadow,2017-07-22 20:00:07.857143,52.383958,4.914099
10064,Entire home/apt,Oud Noord,26,4.5,3,2.0,131.0,The Eye Apartment,2017-07-22 20:00:07.854666,52.389612,4.9165849999999995
10065,Entire home/apt,Centrum West,4,5.0,2,1.0,126.0,"Charming Apt. Jordaan, Citty Center",2017-07-22 20:00:07.851143,52.385551,4.88309
10066,Entire home/apt,Westerpark,132,4.5,4,2.0,126.0,Quietness in the centre,2017-07-22 20:00:05.048449,52.388918,4.886309
10067,Entire home/apt,Westerpark,16,5.0,2,1.0,144.0,Lovely stylish apt in Amsterdam West near Jordaan,2017-07-22 20:00:05.045446,52.382791999999995,4.873948
10068,Entire home/apt,Centrum West,4,5.0,2,1.0,144.0,Historical tjalk in city center,2017-07-22 20:00:05.042929,52.384308000000004,4.891255999999999
10069,Entire home/apt,Westerpark,14,5.0,4,2.0,133.0,Amsterdam City Centre two-floor apt,2017-07-22 20:00:05.038253,52.389720000000004,4.887125
10070,Entire home/apt,Centrum West,39,4.0,4,2.0,143.0,Cozy two floor apartment in Jordaan area,2017-07-22 20:00:05.035010,52.382588,4.885932
10071,Entire home/apt,Centrum West,68,5.0,2,1.0,132.0,Amsterdam Center Entire Apartment,2017-07-22 20:00:05.032602,52.378915,4.883205
10072,Entire home/apt,Westerpark,54,4.5,2,1.0,132.0,Studio at a Amsterdam canal,2017-07-22 20:00:05.029781,52.385262,4.880528
10073,Entire home/apt,Centrum West,61,5.0,2,0.0,126.0,Bright Waterfront Studio Apartment,2017-07-22 20:00:05.026926,52.386788,4.887106
10074,Entire home/apt,Centrum West,3,5.0,2,1.0,126.0,Cosy apartment with canal view in the Jordaan,2017-07-22 20:00:05.023860,52.3832,4.883115
10075,Entire home/apt,Westerpark,15,5.0,3,1.0,126.0,Comfy apartment near Jordaan/Wpark,2017-07-22 20:00:05.011646,52.378997999999996,4.8754800000000005
10076,Entire home/apt,Centrum West,24,5.0,2,1.0,132.0,W 100 m2 split level loft Jordaan apartment D,2017-07-22 20:00:02.989754,52.382108,4.884780999999999
10077,Entire home/apt,Westerpark,16,5.0,2,1.0,144.0,Spacious apartment w/ sunny garden near Jordaan,2017-07-22 20:00:02.984412,52.382447,4.876725
10078,Entire home/apt,Westerpark,4,4.5,2,1.0,138.0,Bright & cozy 1BD apt at Westerpark,2017-07-22 20:00:02.981216,52.384768,4.875586
10079,Entire home/apt,Westerpark,45,5.0,2,1.0,138.0,Spacious and Cozy Loft in Jordaan,2017-07-22 20:00:02.977601,52.378955,4.875657
10080,Entire home/apt,Westerpark,8,5.0,2,1.0,132.0,Modern clean apartment in quiet street -Westerpark,2017-07-22 20:00:02.974344,52.388727,4.876352
10081,Entire home/apt,Westerpark,20,5.0,2,1.0,126.0,"Spacious, fully-equipped apartment",2017-07-22 20:00:02.970659,52.386994,4.879914
10083,Entire home/apt,Centrum West,29,5.0,2,1.0,132.0,W Spacious split-level 100m2 Jordaan apartment C,2017-07-22 20:00:02.950413,52.380395,4.886399
10084,Entire home/apt,Centrum West,54,5.0,2,1.0,144.0,THE REAL AMSTERDAM EXPERIENCE!,2017-07-22 20:00:02.947968,52.379276000000004,4.88656
10085,Entire home/apt,Westerpark,3,4.5,4,3.0,143.0,"Stylish apartment, sunny terrace, near Jordaan",2017-07-22 20:00:02.945308,52.388965999999996,4.8830029999999995
10086,Entire home/apt,Westerpark,4,4.0,2,0.0,131.0,Cosy bright studio in the center of Amsterdam,2017-07-22 20:00:02.942798,52.379692,4.877596
10087,Entire home/apt,Centrum West,13,4.5,4,2.0,144.0,"Bright city center apartment, near Central Station",2017-07-22 20:00:02.937717,52.384501,4.88808
10088,Entire home/apt,Westerpark,5,4.5,3,2.0,144.0,Super located luxurious apartment!,2017-07-22 20:00:02.934453,52.378766999999996,4.876003
10089,Entire home/apt,Centrum West,19,4.0,4,2.0,132.0,2 large bedroom apartment in heart of Jordaan,2017-07-22 20:00:02.930779,52.380009,4.883383
10091,Entire home/apt,Centrum West,7,5.0,2,1.0,144.0,Trendy apartment in Jordaan with a lot of light,2017-07-22 19:59:59.565078,52.381487,4.887215
10094,Entire home/apt,Centrum West,3,4.5,2,0.0,144.0,Private studio at perfect location,2017-07-22 19:59:59.554376,52.38625,4.887015
10096,Entire home/apt,Westerpark,14,4.5,2,1.0,131.0,The perfect Get Away,2017-07-22 19:59:59.547382,52.384584999999994,4.873985
10098,Entire home/apt,Westerpark,22,4.5,2,1.0,132.0,Appartement in centre of Amsterdam,2017-07-22 19:59:59.536891,52.378077000000005,4.875781
10099,Entire home/apt,Westerpark,8,5.0,2,1.0,132.0,Waterside apartment near center,2017-07-22 19:59:59.534718,52.389368,4.884269000000001
10100,Entire home/apt,Westerpark,8,4.5,2,1.0,144.0,Stay next to the Westerpark (tip!),2017-07-22 19:59:56.053845,52.384826000000004,4.877487
10101,Entire home/apt,Westerpark,7,5.0,2,1.0,132.0,Cosy apartment Amsterdam west,2017-07-22 19:59:56.051795,52.383782000000004,4.876793
10102,Entire home/apt,Westerpark,5,5.0,2,1.0,144.0,Spacious and Cosy Appartment,2017-07-22 19:59:56.047710,52.380711,4.877004
10105,Entire home/apt,Centrum West,9,5.0,3,1.0,132.0, downtown app (105 sqm/950 sqft),2017-07-22 19:59:56.039961,52.377678,4.890779
10107,Entire home/apt,Westerpark,6,5.0,2,1.0,132.0,Appartement in Westerpark,2017-07-22 19:59:56.035468,52.387289,4.880835
10108,Entire home/apt,Westerpark,3,4.0,3,2.0,132.0,Modern Apartment in Westerpark,2017-07-22 19:59:56.031530,52.382358,4.878857
10110,Entire home/apt,Westerpark,18,5.0,2,1.0,138.0,Canal view apartment,2017-07-22 19:59:56.018380,52.389418,4.884222
10112,Entire home/apt,Centrum West,34,4.0,4,1.0,143.0,Studio for family and friends,2017-07-22 19:59:53.703992,52.377912,4.890941000000001
10114,Entire home/apt,Westerpark,10,5.0,4,1.0,132.0,Bright & Modern Place @ Great Spot!,2017-07-22 19:59:53.694061,52.389328000000006,4.879918
10118,Entire home/apt,Centrum West,12,4.5,2,1.0,144.0,2 min From Central Station,2017-07-22 19:59:53.684435,52.377564,4.895697
10119,Entire home/apt,Westerpark,21,4.5,4,1.0,132.0,Design canal view appartment Center,2017-07-22 19:59:51.390626,52.385313000000004,4.878539
10120,Entire home/apt,Centrum West,10,4.5,2,1.0,132.0,Corner apt in heart of popular Jordaan area,2017-07-22 19:59:51.388645,52.380824,4.88575
10121,Entire home/apt,Westerpark,13,4.5,2,1.0,133.0,MODERN & Luxury apt in Westerpark,2017-07-22 19:59:51.386595,52.384423,4.8758550000000005
10122,Entire home/apt,Westerpark,14,4.0,2,1.0,132.0,"Lovely, Centre, Private Apartment",2017-07-22 19:59:51.381585,52.388169,4.878915
10123,Entire home/apt,Centrum West,13,5.0,2,1.0,144.0,Historisch zeilschip in centrum,2017-07-22 19:59:51.378842,52.382996999999996,4.893753
10124,Entire home/apt,Westerpark,13,5.0,2,1.0,132.0,Beautiful central apartment with a Westerpark view,2017-07-22 19:59:51.376319,52.38442,4.876971
10126,Entire home/apt,Westerpark,13,5.0,2,1.0,126.0,Close to everything yet very quiet,2017-07-22 19:59:51.368736,52.381175,4.874681
10127,Entire home/apt,Westerpark,4,5.0,2,1.0,144.0,Bright and cosy apt with balcony,2017-07-22 19:59:51.366427,52.390103,4.877368
10128,Entire home/apt,Westerpark,6,5.0,2,2.0,129.0,Mooi groot modern appartement,2017-07-22 19:59:51.364275,52.390407,4.886067
10130,Entire home/apt,Westerpark,12,5.0,2,1.0,144.0,"Freshly renovated, perfect location!",2017-07-22 19:59:48.198284,52.377897,4.875507
10131,Entire home/apt,Centrum West,51,4.5,2,1.0,143.0,Stunning apartment in centre,2017-07-22 19:59:48.190473,52.383687,4.886786
10132,Entire home/apt,Westerpark,25,5.0,2,1.0,138.0,Light modern apartment by the park & Jordaan area,2017-07-22 19:59:48.186128,52.389517,4.87625
10133,Entire home/apt,Westerpark,5,5.0,2,1.0,132.0,Apartment with a view,2017-07-22 19:59:48.183538,52.384263,4.878085
10134,Entire home/apt,Centrum West,10,4.5,2,1.0,125.0,Modern apartment in Jordaan district,2017-07-22 19:59:48.179240,52.384197,4.887118
10135,Entire home/apt,Westerpark,3,5.0,2,1.0,132.0,Cosy apartment with canal view!,2017-07-22 19:59:44.910897,52.382881,4.8741769999999995
10138,Entire home/apt,Westerpark,30,5.0,2,1.0,127.0,Nice apartment in  the Spaarndammer neighborhood.,2017-07-22 19:59:44.889486,52.391324,4.87721
10140,Entire home/apt,Westerpark,5,5.0,2,1.0,144.0,"Bright modern, new city apartment with local vibe",2017-07-22 19:59:42.977116,52.390093,4.879389
10141,Entire home/apt,Westpoort,68,4.5,3,0.0,144.0,Brand NEW!/luxury/near city center,2017-07-22 19:59:42.965013,52.396124,4.876285
10142,Entire home/apt,Centrum West,17,5.0,2,1.0,144.0,Cosy & Comfy loft with jacuzzi @Centre (DamSquare),2017-07-22 19:59:42.960760,52.378916,4.888865
10143,Entire home/apt,Westerpark,4,5.0,2,1.0,132.0,Luxurious Amsterdam apartment,2017-07-22 19:59:40.357125,52.389888,4.876566
10144,Entire home/apt,Westerpark,213,4.5,2,1.0,138.0,Cozy Apartment Just West of Center,2017-07-22 19:59:36.796903,52.382524,4.875089
10147,Entire home/apt,Centrum West,29,4.5,2,0.0,134.0,Anne Frank's Neighbour,2017-07-22 19:59:24.807323,52.373290000000004,4.88236
10148,Entire home/apt,Westerpark,35,4.5,3,1.0,140.0,Amazing top floor apartment!,2017-07-22 19:59:24.804456,52.387747,4.879445
10149,Entire home/apt,Centrum West,61,5.0,2,1.0,138.0,Brand new appartment in de Jordaan,2017-07-22 19:59:24.800212,52.379889,4.88201
10150,Entire home/apt,De Pijp / Rivierenbuurt,50,4.5,4,2.0,133.0,Amsterdam luxurious apartment,2017-07-22 19:59:24.795210,52.35881,4.888306
10151,Entire home/apt,Centrum West,3,4.5,2,1.0,132.0,"Vintage Amsterdam home, authentic location",2017-07-22 19:59:24.785507,52.383137,4.881921
10152,Entire home/apt,Oostelijk Havengebied / Indische Buurt,26,4.5,3,2.0,131.0,Modern and spacious appartment! ,2017-07-22 19:59:24.780434,52.359414,4.944621
10155,Entire home/apt,Oud Oost,16,5.0,2,1.0,132.0,Appartement Amsterdam Oost,2017-07-22 19:59:19.247400,52.358408000000004,4.9241410000000005
10157,Entire home/apt,Oud Oost,6,5.0,4,1.0,144.0,Wonderful apartment in Oost,2017-07-22 19:59:19.239140,52.361315000000005,4.927295
10158,Entire home/apt,De Pijp / Rivierenbuurt,47,5.0,2,1.0,131.0,Romantic spacious luxury apartment,2017-07-22 19:59:19.236210,52.357458,4.903568
10162,Entire home/apt,Centrum West,28,4.5,2,1.0,132.0,New - Charming - Center - Jordaan,2017-07-22 19:59:17.460772,52.380224,4.88247
10163,Entire home/apt,Westerpark,5,4.5,2,1.0,132.0,Cosy apartment near the Jordaan and City Centre,2017-07-22 19:59:17.448696,52.387606,4.883791
10165,Entire home/apt,Oud Oost,10,5.0,2,1.0,144.0,Cosy apartment near Oosterpark!,2017-07-22 19:59:17.439961,52.357427,4.9184790000000005
10166,Entire home/apt,Oostelijk Havengebied / Indische Buurt,7,4.5,2,1.0,132.0,Roof Terrace Apartment w/Great View,2017-07-22 19:59:14.168766,52.361412,4.935319
10167,Entire home/apt,De Pijp / Rivierenbuurt,14,5.0,2,1.0,132.0,Sunny oasis in the heart of De Pijp,2017-07-22 19:59:11.601007,52.356651,4.901159
10168,Entire home/apt,Watergraafsmeer,3,4.5,2,2.0,126.0,colourfull appartment east district,2017-07-22 19:59:11.598190,52.356924,4.941126000000001
10169,Entire home/apt,Centrum Oost,25,4.5,4,1.0,144.0,Romantic Canal Apartment in Centre,2017-07-22 19:59:11.595286,52.372040000000005,4.9144
10170,Entire home/apt,Oud Oost,19,5.0,2,1.0,140.0,Lovely apt near centre of Amsterdam,2017-07-22 19:59:11.592339,52.35618,4.916055
10171,Entire home/apt,Centrum Oost,9,5.0,2,0.0,132.0,"Light, brand new canal house studio",2017-07-22 19:59:11.589892,52.368614,4.920099
10173,Entire home/apt,Oud Oost,14,5.0,3,1.0,143.0,Central located apartment w/ garden,2017-07-22 19:59:11.581419,52.355894,4.909253
10174,Entire home/apt,Oostelijk Havengebied / Indische Buurt,6,4.0,2,1.0,138.0,"Private apartment, centre nearby!",2017-07-22 19:59:11.578510,52.361957000000004,4.938275
10175,Entire home/apt,Centrum Oost,18,5.0,2,1.0,132.0,centerlocation@skinnybridge,2017-07-22 19:59:11.572404,52.362911,4.901191000000001
10176,Entire home/apt,Oostelijk Havengebied / Indische Buurt,3,5.0,4,2.0,143.0,Very spacious apartment in Amsterdam East,2017-07-22 19:59:11.570120,52.371488,4.945956
10177,Entire home/apt,Oud Oost,8,5.0,2,1.0,132.0,Lovely apartment with balcony,2017-07-22 19:59:11.567265,52.355666,4.91052
10178,Entire home/apt,Centrum West,7,4.5,2,1.0,144.0,Bright and comfortable apt in Jordaan!,2017-07-22 19:59:11.563280,52.381338,4.885778
10180,Entire home/apt,Centrum Oost,79,5.0,3,2.0,144.0,Comfortable and romantic apartment,2017-07-22 19:59:08.273324,52.358371000000005,4.8995489999999995
10181,Entire home/apt,Oud Noord,11,5.0,2,0.0,132.0,Ruime loft woning Amsterdam Noord,2017-07-22 19:59:05.313352,52.386624,4.930516000000001
10182,Entire home/apt,Centrum Oost,81,5.0,2,1.0,144.0,Cosy apartment in historic centre,2017-07-22 19:59:05.303598,52.359212,4.8913
10183,Entire home/apt,Oostelijk Havengebied / Indische Buurt,6,5.0,2,2.0,143.0,New Modern Lovely apartment in Oost,2017-07-22 19:59:05.297830,52.362986,4.9355080000000005
10184,Entire home/apt,Oud Noord,15,5.0,4,1.0,132.0,Cozy house with central locationAMS,2017-07-22 19:59:05.292886,52.383987,4.916987000000001
10185,Entire home/apt,Oud Oost,12,4.5,2,1.0,127.0,Unique Two-floor Design Apartment,2017-07-22 19:59:05.290663,52.356761999999996,4.918488
10187,Entire home/apt,Centrum Oost,11,5.0,2,1.0,138.0,Quiet charm near Artis zoo in Amsterdam center,2017-07-22 19:59:05.281884,52.364585,4.915334
10188,Entire home/apt,Centrum West,78,4.5,2,1.0,138.0,Great location modern apartment,2017-07-22 19:59:05.279300,52.381136,4.885402
10189,Entire home/apt,Westerpark,36,5.0,2,1.0,131.0,Great house in ideal location!,2017-07-22 19:59:05.274864,52.382551,4.879791
10190,Entire home/apt,Oud Oost,10,5.0,2,1.0,138.0,"Luxurious and Warm Apartment, Great Location",2017-07-22 19:59:02.300220,52.361816,4.926549
10192,Entire home/apt,Oostelijk Havengebied / Indische Buurt,33,4.5,2,1.0,132.0,Beautiful app. near citycenter,2017-07-22 19:58:58.997731,52.363205,4.9378589999999996
10193,Entire home/apt,Oostelijk Havengebied / Indische Buurt,6,4.5,2,1.0,144.0,Modern Spacious 2p w/ Roof Terrace,2017-07-22 19:58:58.992774,52.362803,4.9346309999999995
10195,Entire home/apt,Oud Oost,5,5.0,2,1.0,132.0,Spacious and modern apartment next to the Amstel,2017-07-22 19:58:58.976738,52.356745000000004,4.908281
10197,Entire home/apt,Oud Oost,35,4.5,2,1.0,144.0,Nice place in Amsterdam East,2017-07-22 19:58:58.970157,52.363543,4.926826999999999
10198,Entire home/apt,Oud Oost,5,5.0,2,1.0,138.0,"Characteristic, Sunny and Colourful Apartment",2017-07-22 19:58:56.184475,52.361014000000004,4.928444
10199,Entire home/apt,Oud Oost,9,5.0,2,1.0,138.0,"Nice, cosy apartment in Adam East!",2017-07-22 19:58:56.178108,52.361559,4.926807
10200,Entire home/apt,Centrum Oost,10,5.0,2,1.0,143.0,Canal view two floor appartment,2017-07-22 19:58:56.172563,52.362495,4.906541000000001
